C   1.420000   1.520000   1.580000
H   0.952899   0.984296   0.748600
H   2.171440   2.306013   1.187320
H   2.011723   0.820633   2.177613
H   0.643938   1.869059   2.206467
C   3.420000   1.520000   1.580000
H   2.952899   0.984296   0.748600
H   4.171440   2.306013   1.187320
H   4.011723   0.820633   2.177613
H   2.643938   1.869059   2.206467
C   5.420000   1.520000   1.580000
H   4.952899   0.984296   0.748600
H   6.171440   2.306013   1.187320
H   6.011723   0.820633   2.177613
H   4.643938   1.869059   2.206467
C   7.420000   1.520000   1.580000
H   6.952899   0.984296   0.748600
H   8.171440   2.306013   1.187320
H   8.011723   0.820633   2.177613
H   6.643938   1.869059   2.206467
